Id,Sales
1,5011.595446123016
857,5122.544301612439
1713,5252.912927754405
2569,5714.4205884316725
4281,4933.836320281274
5137,4061.4965317403817
5993,3755.9142857592374
6849,3866.8631412486607
7705,3997.2317673906264
8561,4458.739428067894
10273,4933.836320281274
11129,5378.374346219627
11985,5072.792100238483
12841,5183.740955727906
13697,5314.109581869871
14553,5775.617242547139
16265,4995.0329743967395
17121,4122.693185855848
17977,3817.1109398747035
18833,3928.059795364127
19689,4058.428421506092
20545,4519.93608218336
22257,4995.0329743967395
23113,5378.374346219627
23969,5072.792100238483
24825,5183.740955727906
25681,5314.109581869871
26537,5775.617242547139
28249,4995.0329743967395
29105,4122.693185855848
29961,3817.1109398747035
30817,3928.059795364127
31673,4058.428421506092
32529,4519.93608218336
34241,4995.0329743967395
35097,5378.374346219627
35953,5072.792100238483
36809,5183.740955727906
37665,5314.109581869871
38521,5775.617242547139
40233,4995.0329743967395
2,8284.0
858,8512.0
1714,9004.0
2570,9628.0
4282,4472.0
5138,5560.0
5994,5224.0
6850,5452.0
7706,5944.0
8562,6568.0
10274,4472.0
11130,8620.0
11986,8284.0
12842,8512.0
13698,9004.0
14554,9628.0
16266,4472.0
17122,5560.0
17978,5224.0
18834,5452.0
19690,5944.0
20546,6568.0
22258,4472.0
23114,8620.0
23970,8284.0
24826,8512.0
25682,9004.0
26538,9628.0
28250,4472.0
29106,5560.0
29962,5224.0
30818,5452.0
31674,6124.0
32530,6748.0
34242,4472.0
35098,8804.0
35954,8468.0
36810,8696.0
37666,9188.0
38522,9812.0
40234,4472.0
3,9430.556349953542
859,9365.441808591626
1715,10713.380494137447
2571,11638.60864084517
4283,6166.664179104479
5139,7658.646916846715
5995,6855.620043556072
6851,6790.505502194156
7707,8138.444187739979
8563,9063.6723344477
10275,6166.664179104479
11131,10233.583223244184
11987,9430.556349953542
12843,9365.441808591626
13699,10713.380494137447
14555,11638.60864084517
16267,6166.664179104479
17123,8919.915742920884
17979,8116.888869630243
18835,8051.774328268326
19691,9399.71301381415
20547,10324.94116052187
22259,6166.664179104479
23115,11494.852049318353
23971,10691.825176027713
24827,10626.710634665795
25683,11974.649320211618
26539,12899.877466919339
28251,6166.664179104479
29107,8919.915742920884
29963,8116.888869630243
30819,8051.774328268326
31675,9399.71301381415
32531,10324.94116052187
34243,6166.664179104479
35099,11494.852049318353
35955,10691.825176027713
36811,10626.710634665795
37667,11974.649320211618
38523,12899.877466919339
40235,6166.664179104479
4,7328.0
860,6592.0
1716,7232.0
2572,7904.0
4284,3040.0
5140,4096.0
5996,5056.0
6852,4320.0
7708,4960.0
8564,5632.0
10276,3040.0
11132,6368.0
11988,7328.0
12844,6592.0
13700,7232.0
14556,7904.0
16268,3040.0
17124,4032.0
17980,4992.0
18836,4256.0
19692,4896.0
20548,5568.0
22260,3040.0
23116,6304.0
23972,7264.0
24828,6528.0
25684,7168.0
26540,7840.0
28252,3040.0
29108,4032.0
29964,4992.0
30820,4256.0
31676,4896.0
32532,5568.0
34244,3040.0
35100,6304.0
35956,7264.0
36812,6528.0
37668,7168.0
38524,7840.0
40236,3040.0
5,6880.0
861,6976.0
1717,7520.0
2573,8768.0
4285,6048.0
5141,5440.0
5997,4896.0
6853,4992.0
7709,5536.0
8565,6784.0
10277,6048.0
11133,7424.0
11989,6880.0
12845,6976.0
13701,7520.0
14557,8768.0
16269,6048.0
17125,5440.0
17981,4896.0
18837,4992.0
19693,5536.0
20549,6784.0
22261,6048.0
23117,7424.0
23973,6880.0
24829,6976.0
25685,7520.0
26541,8768.0
28253,6048.0
29109,5440.0
29965,4896.0
30821,4992.0
31677,5760.0
32533,7008.0
34245,6048.0
35101,7648.0
35957,7104.0
36813,7200.0
37669,7744.0
38525,8992.0
40237,6048.0
6,5932.0
862,5950.0
1718,6390.0
2574,7134.0
4286,4840.0
5142,4966.0
5998,4664.0
6854,4682.0
7710,5122.0
8566,5866.0
10278,4840.0
11134,6234.0
11990,5932.0
12846,5842.0
13702,6282.0
14558,7026.0
16270,4732.0
17126,4858.0
17982,4556.0
18838,4574.0
19694,5014.0
20550,5758.0
22262,4732.0
23118,6126.0
23974,5824.0
